R48 L 路 升温三候选量探针　场转储（每片按 x 列的廓线：x 区间 / 有料面积 / 面积加权平均温度）　开跑 2026-09-17 00:00:28　2026-09-16 Opus 5
── 设定点 300 °C　夹头 100 °C　片 0「入口」　T管根 335.1355 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
30	-16	-14	36.25	798.724154
31	-14	-12	30.625	799.081369
32	-12	-10	26.5	800.095388
33	-10	-8	23.125	801.601955
34	-8	-6	20.75	803.055691
35	-6	-4	19	804.36987
36	-4	-2	16	805.284697
37	-2	0	16	805.958139
38	0	2	15.125	806.368895
39	2	4	15	806.469436
40	4	6	17.25	806.510579
41	6	8	17.5	806.492118
42	8	10	17.375	806.507565
43	10	12	17.625	806.485174
44	12	14	18.875	806.48967
45	14	16	19.375	806.532671
46	16	18	22	806.486069
47	18	20	23.875	806.48044
48	20	22	25	806.500428
49	22	24	30	806.519051
50	24	26	41	806.58954
51	26	28	51.375	806.51789
52	28	30	27.375	806.271562
── 设定点 750 °C　夹头 100 °C　片 1「HC1|HC2」　T管根 752.5696 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	136.480695
5	-96.165678	-85.165678	660	270.100222
6	-85.165678	-75.51206	579.21708	423.207853
7	-75.51206	-68.0862	445.5516	524.62557
8	-68.0862	-62.374	342.732	588.368358
9	-62.374	-57.98	263.64	629.461544
10	-57.98	-54.6	202.8	656.629667
11	-54.6	-52	156	675.016478
12	-52	-50	120	687.724859
13	-50	-48	120	697.839419
14	-48	-46	120	707.038938
15	-46	-44	120	715.341578
16	-44	-42	120	722.763279
17	-42	-40	120	729.317166
18	-40	-38	120	735.012736
19	-38	-36	120	739.854698
20	-36	-34	120	743.84126
21	-34	-32	120	746.961534
22	-32	-30	120	749.19152
23	-30	-28	120	750.486385
